"date","champaign","salem","ithaca"
2021-11-07,47.0675,48.935,36.4025
2021-11-08,51.86,57.065,40.9925
2021-11-09,48.3425,54.7475,45.1475
2021-11-10,50.39,57.2,44.4875
2021-11-11,49.25,52.0775,42.3425
2021-11-12,38.2925,42.155,49.025
2021-11-13,35.81,36.2525,38.2775
2021-11-14,34.835,44.285,36.9575
2021-11-15,33.0275,45.845,34.8275
2021-11-16,44.5925,55.64,34.145
2021-11-17,53.5625,56.96,NA
2021-11-18,34.955,38.0225,47.75
2021-11-19,29.1725,33.695,33.8375
2021-11-20,40.6925,48.4325,31.73
2021-11-21,44.7275,51.08,39.2
2021-11-22,27.8075,34.895,34.3025
2021-11-23,30.155,39.605,26.6225
2021-11-24,44.18,52.82,26.5175
2021-11-25,36.9425,38.1425,35.84
2021-11-26,24.74,32.675,32.7125
2021-11-27,34.295,46.6775,26.825
2021-11-28,30.95,41.5325,28.2575
2021-11-29,32.0525,42.0875,24.95
2021-11-30,38.0075,50.3075,28.37
2021-12-01,41.555,52.9625,NA
2021-12-02,45.9725,58.115,40.79
2021-12-03,42.3125,55.295,31.895
2021-12-04,35.6075,48.86,34.8875
2021-12-05,40.2425,55.535,34.01
2021-12-06,31.7075,35.825,43.2875
2021-12-07,19.7675,29.7425,28.775
2021-12-08,28.4825,36.425,26.87
2021-12-09,37.4525,50.4275,24.95
2021-12-10,46.5575,59.7575,33.935
2021-12-11,40.85,38.7875,45.125
2021-12-12,35.9675,37.055,36.335
2021-12-13,38.0825,46.5125,40.7
2021-12-14,42.815,53.4575,34.4075
2021-12-15,57.305,65.975,36.29
2021-12-16,46.1,47.9,53.675
2021-12-17,31.6175,39.83,42.035
2021-12-18,34.9625,36.38,33.7775
2021-12-19,29.5325,27.0575,25.2425
2021-12-20,31.6325,31.61,24.35
2021-12-21,32.045,37.055,31.415
2021-12-22,26.93,36.65,28.265
2021-12-23,37.055,46.16,22.4375
2021-12-24,50.2025,60.155,29.285
2021-12-25,51.275,59.57,37.2425
2021-12-26,44.5175,45.47,34.76
2021-12-27,49.1225,56.915,28.295
2021-12-28,37.49,48.9125,33.44
2021-12-29,36.6875,42.3125,34.0625
2021-12-30,38.2325,48.9725,36.83
2021-12-31,46.235,56.045,39.9425
2022-01-01,36.665,40.3475,45.9575
2022-01-02,23.0225,15.725,27.9725
2022-01-03,18.6275,20.015,16.3025
2022-01-04,27.665,32.3375,21.425
2022-01-05,21.5525,31.175,31.25
2022-01-06,9.9875,15.71,26.2325
2022-01-07,7.3925,15.2,20.75
2022-01-08,23.5025,30.4625,17.1275
2022-01-09,26.495,34.595,29.69
2022-01-10,17.105,25.6925,17.2625
2022-01-11,21.7925,35.6975,4.9775
2022-01-12,34.2725,45.4025,22.805
2022-01-13,32.27,44.555,32.3975
2022-01-14,33.005,36.7025,22.28
2022-01-15,26.72,33.35,-1.09
2022-01-16,21.71,25.0025,8.855
2022-01-17,25.49,32.0675,26.8325
2022-01-18,32.255,41.0975,17.7125
2022-01-19,25.685,31.0175,30.4325
2022-01-20,11.045,11.285,16.22
2022-01-21,12.2975,10.7075,2.3525
2022-01-22,22.625,25.0925,1.4225
2022-01-23,25.34,35.9525,20.5325
2022-01-24,26.9075,43.145,9.6425
2022-01-25,11.705,21.545,21.7325
2022-01-26,6.5825,20.1275,NA
2022-01-27,26.51,33.14,8.72
2022-01-28,19.4975,24.29,19.205
2022-01-29,10.895,26.4725,3.98
2022-01-30,21.74,35.135,2.9675
2022-01-31,25.535,37.6625,6.5525
2022-02-01,40.0325,50.3675,19.07
2022-02-02,23.7425,23.645,32.465
2022-02-03,18.41,14.4275,31.085
2022-02-04,13.5275,18.8075,15.2075
